Year,Type of Graph,Ticker,Industry,Degree,Weighted Degree,Eccentricity,Closness Centrality,Harmonic Closness Centrality,Betweeness Centrality,Eigen Centrality
2022,Top 200 Industries,TSLA,Unclassified,199,8705176,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,AAPL,Comps,199,7973116,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,AMZN,BusSv,199,6002188,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,META,BusSv,199,4915119,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,MSFT,BusSv,199,4374581,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,AMC,Fun,199,3836062,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,GOOGL,BusSv,199,3798599,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,NVDA,Chips,199,3759559,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,AMD,Chips,199,3694634,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,NFLX,Fun,199,3351263,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,GME,Rtail,199,2988567,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,BA,Aero,199,2472891,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,TWTR,BusSv,199,2070219,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,AAL,Trans,199,1851985,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,ROKU,Unclassified,199,1776084,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,F,Autos,199,1758667,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,PYPL,Unclassified,199,1531873,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,SNAP,BusSv,199,1490797,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,DIS,Telcm,199,1465531,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,DAL,Trans,199,1449778,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,SQ,BusSv,199,1379321,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,BAC,Banks,198,1357388,2,0.995,0.997487,2.271149,0.995373
2022,Top 200 Industries,JPM,Banks,199,1330411,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,DKNG,Unclassified,199,1296165,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,MRNA,Unclassified,199,1215084,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,INTC,Chips,196,1203515,2,0.985149,0.992462,1.766131,0.987163
2022,Top 200 Industries,PENN,Fun,199,1143050,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,NKLA,Unclassified,199,1138555,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,WMT,Rtail,199,1124075,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,LCID,Fin,199,1052144,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,HD,Rtail,199,1051978,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,XOM,Oil,199,1028056,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,INO,LabEq,198,943348,2,0.995,0.997487,2.286848,0.995287
2022,Top 200 Industries,V,BusSv,199,930868,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,BBIG,Unclassified,199,915222,1,1.0,1.0,2.38157,1.0
