matched_tickers,industry_Aero,industry_Autos,industry_Banks,industry_BusSv,industry_Chips,industry_Clths,industry_Comps,industry_Drugs,industry_ElcEq,industry_Fin,industry_Fun,industry_LabEq,industry_Meals,industry_MedEq,industry_Oil,industry_Rtail,industry_Smoke,industry_Soda,industry_Telcm,industry_Trans,industry_Unclassified
MSFT,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JNJ,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
WFC,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SOFI,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
V,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
MO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
JPM,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TLRY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
KO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
AMZN,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
INTC,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PLTR,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LUV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
BAC,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DIS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
META,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WMT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TSLA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
SQ,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NFLX,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ROKU,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
NVDA,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PYPL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ADBE,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPCE,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
GM,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PENN,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
LCID,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CRM,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SNAP,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MRNA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BYND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
DKNG,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
PTON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GS,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
NKLA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ZM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
INO,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
NKE,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PLUG,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MULN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GME,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
AMC,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MA,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UBER,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
XOM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
BA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TWTR,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PFE,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
OXY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
COST,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
MGM,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
AAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
M,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
HD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
BBIG,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
F,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ON,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GNUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
