matched_tickers,week,vader_score_avg,ticker_x,industry,eigen centrality,betweeness centrality,weighted degree,spillover_eigen,spillover_betweenness,spillover_degree,ticker_y,predict_for_week,price change (%),composite_alpha,pos_sentiment,neg_sentiment,target_label
AAL,0,0.1734625,AAL,Trans,1.0,2.38157,1851985,-0.19218191055296047,-0.22312585503753443,-0.2991083246147412,AAL,0,3.774983,-0.540953590205236,0.1734625,0.0,1
AAL,2,-0.9243,AAL,Trans,1.0,2.38157,1851985,0.4736061022282878,0.4736062395998212,0.4952953589127133,AAL,2,2.717396,0.5182077007408223,0.0,-0.9243,1
AAPL,0,0.2997614626015695,AAPL,Comps,1.0,2.38157,7973116,0.0,0.0,0.0,AAPL,0,-1.721295,0.2997614626015695,0.2997614626015695,0.0,0
AAPL,1,0.203213280262937,AAPL,Comps,1.0,2.38157,7973116,0.0,0.0,0.0,AAPL,1,5.732155,0.203213280262937,0.203213280262937,0.0,1
AAPL,2,0.4131706984115761,AAPL,Comps,1.0,2.38157,7973116,0.0,0.0,0.0,AAPL,2,3.494843,0.4131706984115761,0.4131706984115761,0.0,1
ADBE,2,0.2142089743589743,ADBE,BusSv,1.0,2.38157,808175,0.2438783147498736,0.24387832761132627,0.27325057555921217,ADBE,2,-7.467042,0.9752161922793864,0.2142089743589743,0.0,0
CRM,2,0.1683785714285714,CRM,BusSv,1.0,2.38157,907382,0.2480447146375102,0.24804472771868705,0.275000405531575,CRM,2,-3.290412,0.9394684193163436,0.1683785714285714,0.0,0
ADBE,1,0.16711875,ADBE,BusSv,1.0,2.38157,808175,0.21868949602051047,0.21868950755357613,0.2335880949078569,ADBE,1,7.510787,0.8380858484819435,0.16711875,0.0,1
GOOGL,1,0.1758126281672089,GOOGL,BusSv,1.0,2.38157,3798599,0.21789914353170536,0.21789915502309007,0.24043100262606498,GOOGL,1,5.361929,0.8520419293480693,0.1758126281672089,0.0,1
MA,1,0.25935,MA,BusSv,1.0,2.38157,454929,0.21030483769184308,0.2103048487827255,0.23121415026066172,MA,1,4.504477,0.9111738367352303,0.25935,0.0,1
MSFT,2,0.4138987287840037,MSFT,BusSv,1.0,2.38157,4374581,0.22572470236156292,0.22572471426564544,0.24521200061659307,MSFT,2,-0.124977,1.1105601460278052,0.4138987287840037,0.0,0
GOOGL,2,0.4473820352170352,GOOGL,BusSv,1.0,2.38157,3798599,0.22268076568982703,0.22268077743338094,0.243972239764394,GOOGL,2,1.290508,1.136715818104637,0.4473820352170352,0.0,1
ZM,2,0.1616211161387631,ZM,Unclassified,1.0,2.38157,673186,0.32208473592676706,0.3259908085614497,0.3882524628135463,ZM,2,-4.899835,1.1979491234405262,0.1616211161387631,0.0,0
ADBE,0,0.1772,ADBE,BusSv,1.0,2.38157,808175,0.22600694944694869,0.22600696136591614,0.3190186607145473,ADBE,0,-3.510763,0.9482325715274121,0.1772,0.0,0
PYPL,0,0.1775302564102564,PYPL,Unclassified,1.0,2.38157,1531873,0.2209136321167986,0.20493795724826688,0.2565600222842132,PYPL,0,1.759745,0.8599418680595352,0.1775302564102564,0.0,1
CRM,0,0.0657523809523809,CRM,BusSv,1.0,2.38157,907382,0.2361385502574958,0.23613856271077524,0.3232673698947814,CRM,0,3.029983,0.8612968638154332,0.0657523809523809,0.0,1
PYPL,2,0.2446817943982764,PYPL,Unclassified,1.0,2.38157,1531873,0.3151529107585959,0.31888435075094157,0.39171199757871417,PYPL,2,-3.486893,1.270431053486528,0.2446817943982764,0.0,0
AMC,1,0.1868375,AMC,Fun,1.0,2.38157,3836062,0.1501566957549854,0.15015673930859555,0.19966311621598412,AMC,1,9.11602,0.686814051279565,0.1868375,0.0,1
GME,1,0.2613225637181409,GME,Rtail,1.0,2.38157,2988567,0.38815704581788135,0.3881571021112167,0.35228513552225027,GME,1,9.862054,1.3899218471694892,0.2613225637181409,0.0,1
AMC,2,0.1513392307692307,AMC,Fun,1.0,2.38157,3836062,0.35738359460012814,0.35738369826081184,0.3743661983093514,AMC,2,10.843366,1.2404727219395222,0.1513392307692307,0.0,1
GME,2,0.3734811962922003,GME,Rtail,1.0,2.38157,2988567,0.301246730243873,0.3012467739328472,0.37795426594332043,GME,2,23.396133,1.353928966412241,0.3734811962922003,0.0,1
AMC,0,0.2076027777777777,AMC,Fun,1.0,2.38157,3836062,0.3051922581181566,0.3051923466405136,0.18629264586489458,AMC,0,-7.082517,1.0042800284013425,0.2076027777777777,0.0,0
MA,0,-0.0071484374999999,MA,BusSv,1.0,2.38157,454929,0.24276589678704438,0.24276590958983132,0.32024369618840814,MA,0,3.32772,0.798627065065284,0.0,-0.0071484374999999,1
V,0,0.065825,V,BusSv,1.0,2.38157,930868,0.23613194852649425,0.23613196097942551,0.32348813476616034,V,0,2.608106,0.8615770442720802,0.065825,0.0,1
MULN,2,0.09669,MULN,Unclassified,1.0,2.38157,741208,0.32750355930359853,0.3315461477074609,0.3913883155523039,MULN,2,-29.003021,1.1471280225633633,0.09669,0.0,0
AMZN,0,0.5028255044830326,AMZN,BusSv,1.0,2.38157,6002188,0.19640463354870172,0.19640464390652673,0.26370707457881465,AMZN,0,6.991909,1.1593418565170757,0.5028255044830326,0.0,1
AMZN,1,0.3533063592707615,AMZN,BusSv,1.0,2.38157,6002188,0.20176335126190897,0.2017633619023376,0.19851288653247026,AMZN,1,9.42141,0.9553459589674783,0.3533063592707615,0.0,1
AMZN,2,0.3952386590533649,AMZN,BusSv,1.0,2.38157,6002188,0.22742107218286012,0.2274210841764044,0.23782924490099733,AMZN,2,-0.070053,1.0879100603136267,0.3952386590533649,0.0,0
META,1,0.148726160990712,META,BusSv,1.0,2.38157,4915119,0.22036154941480457,0.22036156103604956,0.24931562394297,META,1,12.737597,0.8387648953845361,0.148726160990712,0.0,1
